 1035; Orion WH-9012,  Start-Rotex  (TV)  Huayu  ! Huayu !;1,10;Є
 1036; Orion LT-002A, SPP1419  (TV)  Huayu  ! Huayu !;1,00;МАЛО
 1037; Orion KJ-PHEA2-44, Grol GR-21FT/ SPP2923, West K-8891A/ 29HZ14/SSP1426  (TV)  Huayu  ! Huayu !;1,10;Є
 1040; Orion RC-007F-901, Digital 16J103 / 19J103 / 22J103  (TV)  Huayu  ! Huayu !;1,00;Є
 1043; Orion RC-2028/ RC-E22, Panasonic LE-2620, Luxeon LED3213, Hyundai H-32V3 ! Huayu ! (=2955);0,80;Є
 1044; Orion-Konka RC-OR SPP1424/ 1426/ 1525/ 2124F/ 2126F, Patriot 1428/ 1429  P;1,15;МАЛО
 1048; Orion SPP1437/2132/2133  (TV);1,20;Є
 1050; Orion LED1541, LED-2247 LED+USB  (TV)  Huayu  ! Huayu !;1,50;Є
;011 PANASONIC;;
 1104; Panasonic EUR501310  (TV)  Huayu  ! Huayu !;1,10;Є
 1104x; Panasonic EUR501310  (TV);0,80;Є
 1105; Panasonic EUR501325/EUR501320 (TV);0,75;Є
 1106; Panasonic EUR501380, EUR501390  (TV);1,10;Є
 11104; Panasonic EUR7651030A/ EUR7651060/ EUR7651090  (LCD TV)  Huayu  ! Huayu !;1,90;Є
 11106; Panasonic RM-532M ! Huayu ! Унив., кор.  EUR7717010;1,15;НЕМАЄ
 11111; Panasonic N2QAYB000399/ N2QAYB000370 (=11123)  ! Huayu !;1,80;НЕМАЄ
 11119; Panasonic EUR7651110  (LCDTV+DVD)  =1196  ! Huayu !;1,70;Є
 11120; Panasonic N2QAHB000068  (TV)  Huayu  ! Huayu !;0,95;Є
 11122; Panasonic EUR641030A  (TV)  Huayu  ! Huayu !;0,55;НЕМАЄ
 11123; Panasonic RM-D920+ ! Huayu ! Унив., кор. N2QAYB000399;1,65;Є
 11125; Panasonic N2QAYB00543  (LCD TV)  Viera  Huayu  ! Huayu ! (=3063, 11123);1,65;Є
